,carat,cut,color,clarity,depth,table,price,x,y,z
38,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52
39,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78
40,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75
41,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76
42,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61
43,0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46
44,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75
45,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65
46,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71
47,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79
48,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54
49,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64
50,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45
51,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44
52,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72
53,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41
54,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31
55,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63
56,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61
57,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67
58,0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71
59,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7
60,0.3,Very Good,I,SI1,61.2,58.0,405,4.28,4.31,2.63
61,0.3,Ideal,G,SI2,60.6,56.0,405,4.35,4.4,2.65
62,0.31,Very Good,I,VS2,59.3,59.0,406,4.38,4.42,2.61
63,0.3,Very Good,I,VS2,62.7,56.0,407,4.27,4.28,2.68
64,0.3,Very Good,I,VS2,60.7,56.0,407,4.32,4.34,2.63
65,0.25,Very Good,G,VS2,61.9,57.0,407,4.05,4.08,2.51
66,0.25,Very Good,G,VS2,63.0,54.0,407,4.04,4.06,2.55
67,0.27,Very Good,E,VS1,63.8,60.0,407,4.03,4.09,2.59
68,0.27,Very Good,E,SI1,61.2,57.0,407,4.2,4.23,2.58
69,0.3,Ideal,I,VS2,62.3,56.0,407,4.28,4.29,2.67
70,0.3,Ideal,I,VS2,62.4,55.0,407,4.32,4.34,2.7
71,0.32,Ideal,G,SI2,61.3,56.0,407,4.44,4.47,2.73
72,0.3,Ideal,H,SI1,62.0,58.0,407,4.25,4.33,2.66
73,0.3,Ideal,H,SI1,62.9,53.0,407,4.28,4.31,2.7
74,0.25,Ideal,G,SI1,62.3,57.0,407,4.03,4.09,2.53
75,0.24,Ideal,F,VS2,61.8,57.0,408,3.97,3.99,2.46
76,0.3,Ideal,H,SI2,60.0,56.0,408,4.41,4.43,2.65
77,0.31,Very Good,G,SI2,62.3,57.0,408,4.33,4.37,2.71
78,0.31,Good,G,SI2,63.2,55.0,408,4.31,4.33,2.73
79,0.31,Premium,I,SI1,61.3,58.0,408,4.34,4.37,2.67
80,0.31,Ideal,I,SI1,62.7,56.0,408,4.3,4.34,2.71
81,0.31,Premium,J,VS1,60.7,60.0,408,4.34,4.39,2.65
82,0.31,Very Good,I,SI1,61.4,61.0,408,4.34,4.39,2.68
83,0.31,Very Good,G,SI2,63.0,57.0,408,4.32,4.35,2.73
84,0.31,Good,I,SI1,63.5,56.0,408,4.28,4.32,2.73
85,0.31,Very Good,G,SI2,61.8,59.0,408,4.3,4.34,2.67
86,0.31,Premium,J,VS1,61.8,59.0,408,4.31,4.33,2.67
87,0.31,Premium,I,SI1,61.5,59.0,408,4.35,4.37,2.68
88,0.31,Very Good,F,SI2,63.0,58.0,408,4.34,4.36,2.74
89,0.31,Very Good,I,SI1,63.0,57.0,408,4.32,4.34,2.73
90,0.31,Premium,G,SI2,60.3,59.0,408,4.35,4.37,2.63
91,0.31,Very Good,I,SI1,60.7,60.0,408,4.33,4.37,2.64
92,0.31,Premium,I,SI1,62.3,59.0,408,4.29,4.32,2.68
93,0.31,Premium,G,SI2,61.3,58.0,408,4.37,4.4,2.69
94,0.31,Ideal,G,SI2,61.7,56.0,408,4.34,4.38,2.69
95,0.31,Good,I,SI1,63.3,53.0,408,4.3,4.32,2.73
96,0.31,Ideal,G,SI2,60.5,57.0,408,4.36,4.4,2.65
97,0.31,Good,I,SI1,63.8,55.0,408,4.31,4.34,2.76
98,0.31,Good,G,SI2,63.3,54.0,408,4.29,4.34,2.73
99,0.32,Ideal,J,VS2,61.5,53.0,409,4.44,4.47,2.74
100,0.35,Good,J,SI1,63.3,56.0,409,4.5,4.53,2.86
101,0.25,Very Good,E,VS2,59.7,61.0,409,4.08,4.1,2.44
102,0.3,Premium,H,SI2,60.2,62.0,410,4.37,4.34,2.62
103,0.25,Very Good,D,VS1,62.1,60.0,410,4.03,4.05,2.51
104,0.36,Premium,J,SI1,61.6,60.0,410,4.54,4.58,2.81
105,0.3,Ideal,J,VS1,62.0,57.0,411,4.28,4.3,2.66
106,0.3,Ideal,J,VS1,62.2,57.0,411,4.27,4.28,2.66
107,0.23,Premium,D,VS2,58.5,61.0,411,4.06,3.98,2.35
108,0.24,Very Good,E,VS1,62.5,55.0,412,3.96,3.98,2.48
109,0.27,Ideal,I,VVS2,62.0,54.5,412,4.15,4.19,2.58
110,0.31,Good,J,VS1,61.9,61.0,412,4.29,4.34,2.67
111,0.27,Very Good,E,VS1,60.6,59.0,413,4.19,4.22,2.55
112,0.27,Very Good,D,VS1,62.2,58.0,413,4.14,4.15,2.58
113,0.3,Very Good,G,SI1,60.1,58.0,413,4.31,4.34,2.6
114,0.3,Very Good,D,SI2,62.3,58.0,413,4.26,4.28,2.66
115,0.3,Ideal,J,VVS2,62.0,54.0,413,4.3,4.34,2.68
116,0.32,Ideal,J,VS2,62.3,55.3,413,4.36,4.37,2.72
117,0.34,Ideal,J,VS1,61.9,55.0,413,4.5,4.54,2.8
118,0.33,Ideal,F,SI2,61.4,57.0,413,4.44,4.48,2.74
119,0.3,Ideal,D,SI2,61.1,58.0,413,4.31,4.33,2.64
120,0.34,Ideal,D,I1,62.5,57.0,413,4.47,4.49,2.8
121,0.34,Ideal,D,I1,61.4,55.0,413,4.5,4.52,2.77
122,0.31,Ideal,I,SI1,60.9,57.0,414,4.36,4.41,2.67
123,0.23,Ideal,I,VVS1,63.0,56.0,414,3.94,3.9,2.47
124,0.23,Premium,I,VVS1,60.5,61.0,414,3.98,3.95,2.4
125,0.3,Good,D,SI2,60.8,65.0,414,4.26,4.29,2.6
126,0.23,Very Good,G,VVS1,61.3,59.0,414,3.94,3.96,2.42
127,0.23,Very Good,G,VVS1,60.2,59.0,415,4.0,4.01,2.41
128,0.29,Good,F,VS1,62.1,56.0,415,4.24,4.26,2.64
129,0.33,Ideal,F,SI2,61.4,55.0,416,4.46,4.5,2.75
130,0.3,Fair,J,VS2,64.8,58.0,416,4.24,4.16,2.72
131,0.33,Good,H,SI2,63.5,57.0,416,4.36,4.39,2.78
132,0.26,Ideal,I,VS1,62.5,53.0,417,4.08,4.11,2.56
133,0.31,Ideal,H,SI1,61.2,58.0,417,4.37,4.39,2.68
134,0.24,Very Good,F,VS1,62.0,56.0,417,3.94,3.99,2.46
135,0.24,Premium,E,VS2,62.6,58.0,417,3.99,4.03,2.51
136,0.24,Ideal,F,VS2,61.8,57.0,417,3.97,4.02,2.47
137,0.34,Very Good,H,SI2,58.6,62.0,417,4.6,4.62,2.7
138,0.3,Good,G,SI1,63.2,55.0,417,4.26,4.29,2.7
139,0.34,Premium,J,VS2,62.3,60.0,417,4.46,4.49,2.79
140,0.34,Good,F,SI2,63.9,56.0,417,4.4,4.43,2.82
141,0.26,Very Good,G,VS1,61.9,56.0,418,4.07,4.1,2.53
142,0.26,Very Good,G,VS1,62.1,56.0,418,4.07,4.11,2.54
143,0.31,Ideal,J,SI1,61.3,56.0,418,4.37,4.4,2.69
144,0.31,Premium,I,SI1,59.6,58.0,418,4.39,4.44,2.63
145,0.31,Ideal,I,SI1,62.5,56.0,418,4.29,4.35,2.7
146,0.31,Very Good,I,SI1,62.8,60.0,418,4.29,4.31,2.7
147,0.31,Premium,I,SI1,60.1,59.0,418,4.38,4.41,2.64
148,0.31,Ideal,I,SI1,62.2,56.0,418,4.34,4.37,2.71
149,0.31,Very Good,I,SI1,62.3,58.0,418,4.35,4.38,2.72
150,0.24,Very Good,D,VS2,60.2,59.0,419,4.03,4.04,2.43
151,0.27,Very Good,D,VS2,63.0,57.0,419,4.06,4.1,2.57
152,0.24,Very Good,E,VS2,60.1,58.0,419,4.01,4.04,2.42
153,0.24,Very Good,E,VS2,63.5,53.0,419,3.96,3.98,2.52
154,0.24,Very Good,E,VS2,62.1,58.0,419,4.0,4.02,2.49
155,0.24,Very Good,E,VS2,63.1,56.0,419,3.95,3.98,2.5
156,0.24,Very Good,E,VS2,63.0,58.0,419,3.94,3.97,2.49
157,0.24,Very Good,E,VS2,61.5,58.0,419,4.02,4.05,2.48
158,0.24,Very Good,E,VS2,62.1,59.0,419,3.98,4.01,2.48
159,0.24,Very Good,F,VS2,61.4,58.0,419,3.99,4.05,2.47
160,0.24,Very Good,F,VS2,62.4,58.0,419,3.98,4.0,2.49
161,0.24,Very Good,F,VS2,62.9,58.0,419,3.94,4.01,2.5
162,0.24,Very Good,F,VS2,59.6,58.0,419,4.08,4.11,2.44
163,0.24,Very Good,F,VS2,61.9,59.0,419,3.98,4.0,2.47
164,0.24,Very Good,F,VS1,59.9,58.0,419,4.02,4.06,2.42
165,0.24,Very Good,F,VS1,63.0,58.0,419,3.92,3.95,2.48
166,0.24,Very Good,F,VS1,62.5,58.0,419,3.95,3.96,2.47
167,0.24,Very Good,F,VS1,63.0,59.0,419,3.93,3.97,2.49
168,0.24,Very Good,E,VS1,62.4,59.0,419,3.94,3.98,2.47
169,0.24,Very Good,E,VS1,59.8,58.0,419,4.02,4.11,2.43
170,0.24,Very Good,D,VS1,61.4,58.0,419,3.99,4.02,2.46
171,0.24,Very Good,D,VS1,62.2,58.0,419,3.95,3.99,2.47
172,0.24,Very Good,D,VS1,62.9,56.0,419,3.96,3.99,2.5
173,0.24,Ideal,F,VS2,62.2,57.0,419,3.96,4.01,2.48
174,0.24,Ideal,F,VS2,61.2,57.0,419,4.04,4.06,2.48
175,0.24,Ideal,F,VS1,61.3,56.0,419,4.0,4.03,2.46
176,0.26,Very Good,D,VS2,59.6,63.0,420,4.13,4.16,2.47
177,0.26,Very Good,D,VS1,63.3,57.0,420,4.03,4.06,2.56
178,0.32,Ideal,H,SI2,61.5,56.0,420,4.43,4.45,2.73
179,0.32,Ideal,H,SI2,61.9,54.0,420,4.42,4.46,2.75
180,0.32,Ideal,H,SI2,61.4,56.0,420,4.4,4.43,2.71
181,0.29,Ideal,G,SI1,62.1,54.0,420,4.25,4.29,2.65
182,0.25,Ideal,I,VVS1,61.9,55.0,421,4.07,4.1,2.53
183,0.31,Ideal,I,VS2,61.2,55.0,421,4.36,4.4,2.68
184,0.31,Ideal,H,SI2,61.1,56.0,421,4.4,4.42,2.69
185,0.31,Ideal,H,SI2,61.3,55.0,421,4.35,4.38,2.67
186,0.31,Ideal,H,SI2,61.0,56.0,421,4.36,4.39,2.67
187,0.31,Ideal,E,SI2,59.5,61.0,421,4.42,4.45,2.64
188,0.31,Ideal,H,SI1,61.3,55.0,421,4.35,4.39,2.68
189,0.31,Ideal,H,SI1,61.3,55.0,421,4.36,4.41,2.69
190,0.31,Ideal,H,SI1,61.3,57.0,421,4.36,4.38,2.68
191,0.36,Premium,J,SI1,61.3,60.0,421,4.52,4.59,2.79
192,0.3,Very Good,H,SI1,62.2,60.0,421,4.24,4.28,2.65
193,0.32,Good,I,SI1,63.5,57.0,421,4.3,4.33,2.74
194,0.3,Very Good,H,SI1,62.6,58.0,421,4.22,4.28,2.66
195,0.32,Ideal,G,SI2,62.5,55.0,421,4.37,4.4,2.74
196,0.32,Good,F,SI2,63.1,56.0,421,4.34,4.38,2.75
197,0.32,Premium,J,VS1,61.9,58.0,421,4.33,4.39,2.7
198,0.3,Very Good,H,SI1,62.9,57.0,421,4.28,4.31,2.7
199,0.3,Good,H,SI1,63.7,56.0,421,4.2,4.22,2.68
200,0.32,Premium,J,VS1,61.7,58.0,421,4.38,4.4,2.71
201,0.3,Ideal,H,SI1,62.6,55.0,421,4.28,4.32,2.69
202,0.3,Very Good,H,SI1,61.6,62.0,421,4.24,4.3,2.63
203,0.32,Ideal,J,VS1,61.3,57.0,421,4.41,4.43,2.71
204,0.3,Very Good,H,SI1,59.4,63.0,421,4.35,4.4,2.6
205,0.3,Premium,H,SI1,61.2,60.0,421,4.29,4.31,2.63
206,0.32,Very Good,F,SI2,62.6,56.0,421,4.37,4.41,2.75
207,0.3,Good,H,SI1,63.4,58.0,421,4.26,4.29,2.71
208,0.32,Good,F,SI2,63.5,56.0,421,4.35,4.37,2.77
209,0.3,Very Good,E,SI2,61.7,61.0,421,4.29,4.33,2.66
210,0.3,Very Good,H,SI1,61.3,61.0,421,4.25,4.27,2.61
211,0.32,Good,G,SI2,63.4,55.0,421,4.32,4.35,2.75
212,0.32,Premium,G,SI2,61.6,59.0,421,4.35,4.38,2.69
213,0.32,Very Good,I,SI1,59.9,61.0,421,4.44,4.47,2.67
214,0.32,Premium,I,SI1,61.1,59.0,421,4.38,4.42,2.69
215,0.3,Very Good,H,SI1,62.9,58.0,421,4.22,4.24,2.66
216,0.3,Very Good,H,SI1,60.8,61.0,421,4.25,4.3,2.6
217,0.3,Good,H,SI1,63.4,57.0,421,4.27,4.31,2.72
218,0.32,Premium,G,SI2,61.0,59.0,421,4.36,4.42,2.68
219,0.3,Good,H,SI1,63.9,55.0,421,4.24,4.27,2.72
220,0.3,Good,E,SI2,63.5,55.0,421,4.27,4.3,2.72
221,0.32,Very Good,I,SI1,61.6,61.0,421,4.36,4.4,2.7
222,0.32,Ideal,G,SI2,62.5,57.0,421,4.35,4.38,2.73
223,0.32,Very Good,G,SI2,62.3,58.0,421,4.37,4.42,2.74
224,0.32,Very Good,G,SI2,62.4,59.0,421,4.35,4.4,2.73
225,0.32,Good,F,SI2,63.8,55.0,421,4.34,4.35,2.77
226,0.32,Premium,F,SI2,59.7,59.0,421,4.43,4.48,2.66
227,0.3,Very Good,E,SI2,61.9,58.0,421,4.28,4.31,2.66
228,0.3,Very Good,H,SI1,61.2,62.0,421,4.28,4.31,2.63
229,0.32,Very Good,J,VS1,60.6,59.0,421,4.42,4.46,2.69
230,0.3,Very Good,H,SI1,62.9,56.0,421,4.28,4.31,2.7
231,0.32,Very Good,G,SI2,63.0,56.0,421,4.32,4.35,2.73
232,0.3,Very Good,H,SI1,59.5,62.0,421,4.32,4.35,2.58
233,0.32,Premium,G,SI2,62.7,58.0,421,4.35,4.39,2.74
234,0.3,Very Good,E,SI2,61.6,61.0,421,4.25,4.29,2.63
235,0.3,Very Good,H,SI1,62.9,57.0,421,4.26,4.29,2.69
236,0.3,Ideal,I,VS2,62.6,56.0,421,4.29,4.31,2.69
237,0.3,Very Good,E,SI2,61.7,61.0,421,4.28,4.31,2.65
238,0.3,Good,H,SI1,63.4,58.0,421,4.21,4.24,2.68
239,0.3,Premium,H,SI1,59.3,59.0,421,4.36,4.38,2.59
240,0.3,Very Good,H,SI1,61.3,58.0,421,4.29,4.33,2.64
241,0.3,Very Good,H,SI1,63.0,54.0,421,4.27,4.3,2.7
242,0.3,Very Good,H,SI2,63.4,55.0,422,4.26,4.22,2.69
243,0.3,Ideal,G,SI2,61.8,57.0,422,4.31,4.33,2.67
244,0.3,Ideal,G,SI2,62.1,58.0,422,4.27,4.3,2.66
245,0.3,Ideal,G,SI2,61.4,56.0,422,4.33,4.34,2.66
246,0.3,Ideal,G,SI2,61.9,57.0,422,4.28,4.31,2.66
247,0.3,Ideal,G,SI2,62.0,55.0,422,4.28,4.33,2.67
248,0.3,Ideal,G,SI2,61.6,56.0,422,4.32,4.35,2.67
249,0.3,Ideal,I,SI1,61.7,57.0,422,4.3,4.32,2.66
250,0.3,Ideal,I,SI1,61.9,58.0,422,4.27,4.32,2.66
251,0.3,Ideal,I,SI1,61.9,57.0,422,4.28,4.31,2.66
252,0.3,Ideal,I,SI1,61.9,57.0,422,4.29,4.31,2.66
253,0.3,Ideal,I,SI1,62.5,58.0,422,4.25,4.29,2.67
254,0.3,Ideal,I,SI1,61.2,58.0,422,4.28,4.31,2.63
255,0.3,Ideal,I,SI1,61.5,57.0,422,4.3,4.35,2.66
256,0.3,Ideal,I,SI1,61.9,57.0,422,4.3,4.32,2.67
257,0.3,Ideal,G,SI1,62.1,53.0,422,4.32,4.37,2.7
258,0.3,Ideal,G,SI1,62.2,55.0,422,4.27,4.32,2.67
259,0.3,Ideal,G,SI1,60.9,57.0,422,4.34,4.39,2.66
260,0.26,Very Good,G,VS2,61.7,57.0,423,4.11,4.15,2.55
261,0.26,Very Good,G,VS1,62.4,56.0,423,4.08,4.1,2.55
262,0.23,Ideal,H,VS1,61.2,55.0,423,3.94,3.97,2.42
263,0.23,Ideal,E,VS2,62.6,57.0,423,3.88,3.92,2.44
264,0.31,Ideal,J,VS1,61.2,55.0,424,4.37,4.39,2.68
265,0.31,Ideal,J,VS1,62.1,55.0,424,4.35,4.38,2.71
266,0.31,Ideal,I,VS1,61.7,55.0,424,4.36,4.39,2.7
267,0.3,Ideal,H,SI1,61.3,59.0,425,4.29,4.33,2.64
268,0.23,Good,F,VVS2,62.3,61.0,425,3.93,3.94,2.45
269,0.23,Good,F,VVS2,64.5,55.0,425,3.83,3.86,2.48
270,0.23,Good,D,VVS1,60.3,66.0,425,3.91,3.95,2.37
271,0.26,Very Good,D,VS1,60.0,56.0,425,4.15,4.18,2.5
272,0.26,Very Good,G,VVS2,62.2,56.0,426,4.08,4.1,2.54
273,0.25,Ideal,H,VS1,61.9,54.0,426,4.07,4.1,2.53
274,0.34,Ideal,F,SI2,61.9,54.0,426,4.51,4.53,2.8
275,0.3,Ideal,D,SI2,62.0,56.0,426,4.31,4.34,2.68
276,0.27,Ideal,G,SI1,62.2,54.0,426,4.13,4.17,2.58
277,0.29,Very Good,G,VS1,62.1,59.0,426,4.22,4.25,2.63
278,0.26,Very Good,I,VVS2,62.7,55.0,427,4.09,4.12,2.57
279,0.28,Very Good,G,VS2,62.0,56.0,427,4.16,4.19,2.59
280,0.3,Very Good,J,VS1,59.5,60.0,427,4.39,4.45,2.63
281,0.3,Very Good,J,VS1,61.1,61.0,427,4.33,4.38,2.66
282,0.32,Ideal,E,SI2,61.3,56.0,427,4.42,4.45,2.72
283,0.33,Ideal,E,SI2,62.2,54.0,427,4.44,4.46,2.77
284,0.33,Ideal,E,SI2,61.7,55.0,427,4.44,4.47,2.75
285,0.32,Ideal,E,SI2,61.0,56.0,427,4.42,4.44,2.7
286,0.32,Ideal,E,SI2,61.6,56.0,427,4.4,4.43,2.72
287,0.28,Very Good,E,VS1,62.2,59.0,428,4.19,4.23,2.62
288,0.23,Good,G,VVS2,63.8,56.0,428,3.94,3.9,2.5
289,0.28,Very Good,H,VS2,61.6,57.0,429,4.22,4.25,2.61
290,0.28,Very Good,H,VS1,61.9,56.0,429,4.22,4.24,2.61
291,0.28,Very Good,H,VS1,61.9,56.0,429,4.18,4.2,2.59
292,0.28,Very Good,H,VS1,63.1,55.0,429,4.17,4.2,2.64
293,0.28,Very Good,H,VS1,62.4,56.0,429,4.2,4.23,2.63
294,0.27,Very Good,F,VS1,62.4,55.0,429,4.12,4.15,2.58
295,0.31,Ideal,J,VS1,61.7,55.1,429,4.36,4.39,2.7
296,0.31,Ideal,J,VS1,61.9,54.7,429,4.34,4.36,2.69
297,0.31,Ideal,G,SI2,61.6,55.6,429,4.34,4.37,2.69
298,0.29,Premium,I,VS2,62.4,58.0,429,4.23,4.2,2.63
299,0.35,Premium,H,SI2,62.0,58.0,429,4.47,4.5,2.78
300,0.35,Good,H,SI2,63.2,61.0,429,4.47,4.49,2.83
301,0.26,Very Good,H,VS1,62.9,54.0,430,4.06,4.08,2.56
302,0.24,Very Good,E,VS1,61.7,60.0,430,3.97,4.0,2.46
303,0.31,Ideal,I,SI1,61.4,56.0,430,4.35,4.38,2.68
304,0.32,Ideal,H,SI1,61.2,56.0,430,4.43,4.46,2.72
305,0.28,Ideal,G,SI1,60.7,56.0,430,4.25,4.28,2.59
306,0.25,Ideal,F,SI1,61.5,56.0,430,4.06,4.09,2.5
307,0.25,Ideal,F,SI1,60.1,56.0,430,4.11,4.13,2.48
308,0.31,Very Good,J,SI2,63.3,58.0,430,4.35,4.34,2.75
309,0.23,Very Good,H,VVS2,62.4,55.0,431,3.91,3.94,2.45
310,0.23,Very Good,H,VVS2,62.6,56.0,431,3.92,3.95,2.46
311,0.23,Very Good,G,VVS2,62.9,55.0,431,3.88,3.92,2.45
312,0.23,Very Good,G,VVS2,62.6,54.0,431,3.91,3.95,2.46
313,0.23,Very Good,G,VVS2,62.3,57.0,431,3.9,3.92,2.43
314,0.23,Very Good,G,VVS2,62.8,55.0,431,3.93,3.95,2.47
315,0.25,Ideal,H,VS1,61.7,57.0,431,4.04,4.07,2.5
316,0.31,Premium,G,SI1,61.8,58.0,431,4.32,4.35,2.68
317,0.31,Good,G,SI1,63.3,57.0,431,4.3,4.33,2.73
318,0.3,Very Good,G,SI1,62.4,54.0,432,4.33,4.35,2.71
319,0.3,Very Good,G,SI1,62.5,56.0,432,4.27,4.3,2.68
320,0.3,Very Good,G,SI1,61.0,58.0,432,4.3,4.32,2.63
321,0.3,Very Good,G,SI1,62.1,58.0,432,4.26,4.28,2.65
322,0.27,Ideal,I,VS1,61.6,56.0,432,4.15,4.19,2.57
323,0.27,Ideal,I,VS1,61.9,54.0,432,4.14,4.19,2.58
324,0.27,Ideal,I,VS1,62.5,54.0,432,4.16,4.19,2.61
325,0.27,Ideal,I,VS1,61.9,54.0,432,4.15,4.18,2.58
326,0.27,Ideal,I,VS1,61.9,55.0,432,4.16,4.18,2.58
327,0.27,Ideal,I,VS1,62.0,56.0,432,4.16,4.19,2.59
328,0.27,Ideal,I,VS1,61.3,57.0,432,4.16,4.19,2.56
329,0.27,Ideal,I,VS1,62.2,54.0,432,4.16,4.2,2.6
330,0.24,Very Good,E,VS1,61.5,57.0,357,3.99,4.07,2.48
331,0.23,Very Good,D,VS1,61.8,57.0,357,3.9,3.93,2.42
332,0.25,Ideal,H,SI1,62.8,54.0,357,4.05,4.07,2.55
333,0.23,Good,E,VS2,61.8,63.0,357,3.88,3.89,2.4
334,0.23,Good,F,VS2,63.8,57.0,357,3.93,3.84,2.48
335,0.26,Ideal,I,VS1,61.9,56.0,358,4.08,4.16,2.55
336,0.28,Very Good,H,SI1,61.5,56.0,360,4.21,4.24,2.6
337,0.3,Ideal,I,SI2,62.0,55.0,360,4.32,4.33,2.68
338,0.27,Ideal,G,SI2,62.3,55.0,361,4.14,4.18,2.59
339,0.25,Good,E,VS1,63.3,60.0,361,3.99,4.04,2.54
340,0.25,Fair,E,VS1,55.2,64.0,361,4.21,4.23,2.33
341,0.32,Good,D,I1,64.0,54.0,361,4.33,4.36,2.78
342,0.23,Very Good,D,VS2,62.7,58.0,362,3.86,3.89,2.43
343,0.24,Very Good,E,VS2,64.1,59.0,362,3.88,3.92,2.5
344,0.24,Very Good,E,VS2,60.8,56.0,362,4.02,4.04,2.45
345,0.26,Ideal,H,SI2,62.5,53.0,362,4.09,4.13,2.57
346,0.25,Ideal,G,SI1,62.3,53.0,363,4.06,4.09,2.54
347,0.31,Very Good,J,SI1,61.9,59.0,363,4.28,4.32,2.66
348,0.31,Very Good,J,SI1,62.7,59.0,363,4.29,4.32,2.7
349,0.31,Premium,J,SI1,60.9,60.0,363,4.36,4.38,2.66
350,0.31,Good,J,SI1,63.5,55.0,363,4.3,4.33,2.74
351,0.24,Ideal,G,SI1,62.2,54.0,364,3.97,4.0,2.48
352,0.23,Ideal,G,SI1,62.0,54.0,364,3.95,3.99,2.46
353,0.23,Ideal,G,SI1,62.1,53.0,364,3.93,3.96,2.45
354,0.32,Premium,J,SI1,62.2,59.0,365,4.37,4.41,2.73
355,0.33,Ideal,J,SI2,62.4,54.0,366,4.43,4.45,2.77
356,0.24,Very Good,E,VS2,64.5,57.0,367,3.88,3.93,2.52
357,0.24,Very Good,D,VS1,61.1,60.0,367,3.96,3.99,2.43
358,0.3,Ideal,I,SI2,62.4,54.0,367,4.32,4.34,2.7
359,0.3,Ideal,I,SI2,61.9,56.0,367,4.3,4.32,2.67
