Id,Category
731,1
732,1
733,1
734,2
735,2
736,2
737,1
738,3
739,2
740,2
741,3
742,2
743,1
744,1
745,2
746,1
747,3
748,2
749,2
